Genus
#OTU ID	LSFkvassX	LSFkvassY	LSGFkvassX	SDX	SDY	STDkvassX
g__Levilactobacillus	26498.0	59558.0	27375.0	47392.0	62616.0	35153.0
g__Lactiplantibacillus	23117.0	92.0	21882.0	4537.0	2964.0	13178.0
g__CALKXV01	2.0	0.0	0.0	3887.0	3473.0	2.0
g__UBA1258	0.0	0.0	2.0	1486.0	41.0	4.0
g__Faecalibacterium	411.0	589.0	0.0	0.0	0.0	446.0
g__JBAIYU01	202.0	250.0	0.0	0.0	0.0	222.0
g__Duodenibacillus	247.0	306.0	0.0	0.0	0.0	258.0
g__Aquabacterium	187.0	178.0	0.0	0.0	0.0	139.0
g__Allorhizobium	103.0	93.0	0.0	0.0	0.0	74.0
g__Acetobacter	0.0	2.0	0.0	0.0	162.0	0.0
g__Pantoea	0.0	0.0	0.0	179.0	119.0	0.0
g__Hylemonella	41.0	40.0	0.0	0.0	0.0	26.0
d__Bacteria;__;__;__;__;__	40.0	27.0	3.0	7.0	2.0	17.0
g__Novosphingobium	28.0	23.0	0.0	0.0	0.0	29.0
g__Comamonas	34.0	22.0	0.0	0.0	0.0	19.0
g__Neorhizobium	19.0	32.0	0.0	0.0	3.0	22.0
g__Pediococcus	0.0	0.0	0.0	64.0	0.0	0.0
g__Aquabacterium_A	15.0	16.0	0.0	0.0	0.0	22.0
g__Loigolactobacillus	0.0	0.0	0.0	0.0	43.0	0.0
g__Pannonibacter	15.0	16.0	0.0	0.0	0.0	7.0
g__Pseudomonas_E	0.0	19.0	0.0	4.0	43.0	0.0
g__QFOX01	15.0	7.0	0.0	0.0	0.0	5.0
g__Brevibacillus	15.0	12.0	0.0	0.0	0.0	4.0
g__Prevotella	8.0	28.0	0.0	0.0	0.0	7.0
g__Sphingobium	12.0	15.0	0.0	0.0	3.0	11.0
g__Sphingomonas	0.0	0.0	0.0	13.0	12.0	0.0
g__Curtobacterium	0.0	0.0	0.0	9.0	21.0	0.0
g__Acinetobacter	12.0	25.0	0.0	0.0	0.0	0.0
g__Stutzerimonas	19.0	0.0	0.0	0.0	0.0	9.0
g__Diaphorobacter	13.0	6.0	0.0	0.0	0.0	0.0
g__Rhodoferax_C	7.0	0.0	0.0	0.0	0.0	7.0
g__Agrobacterium	13.0	0.0	0.0	0.0	0.0	0.0
g__Moraxella_A	13.0	11.0	0.0	0.0	0.0	3.0
g__Frigoribacterium	0.0	0.0	0.0	0.0	13.0	0.0
g__Pelomonas	12.0	0.0	0.0	0.0	0.0	0.0
g__Acidovorax	11.0	2.0	0.0	0.0	0.0	0.0
g__Brevundimonas	9.0	7.0	0.0	0.0	0.0	4.0
g__Flavobacterium	0.0	0.0	0.0	0.0	0.0	8.0
g__Hydrogenophaga	7.0	4.0	0.0	0.0	0.0	0.0
g__Companilactobacillus	7.0	0.0	0.0	4.0	0.0	0.0
g__Cloacibacterium	5.0	2.0	0.0	0.0	0.0	0.0
g__Telluria	0.0	0.0	0.0	7.0	3.0	0.0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;__	6.0	0.0	0.0	0.0	0.0	0.0
g__Carnobacterium	0.0	0.0	4.0	0.0	0.0	2.0
g__Stenotrophomonas	0.0	0.0	0.0	6.0	0.0	0.0
g__Vogesella	0.0	5.0	0.0	0.0	0.0	2.0
g__Roseateles	4.0	0.0	0.0	0.0	0.0	0.0
g__Azospira	4.0	0.0	0.0	0.0	0.0	0.0
g__Parvimonas	0.0	4.0	0.0	0.0	0.0	3.0
g__Methylobacterium	0.0	0.0	0.0	0.0	4.0	0.0
g__Asticcacaulis	3.0	0.0	0.0	0.0	0.0	0.0
g__Lawsonella	3.0	0.0	0.0	0.0	0.0	0.0
g__Enterococcus_A	0.0	3.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;__;__;__	0.0	0.0	0.0	3.0	0.0	0.0
g__Microsaccharimonas	0.0	0.0	0.0	3.0	0.0	0.0
g__Chryseobacterium	0.0	0.0	0.0	3.0	0.0	0.0
g__Sphingobacterium	0.0	0.0	0.0	0.0	5.0	0.0
g__Schleiferilactobacillus	0.0	0.0	0.0	0.0	3.0	0.0
g__Rathayibacter	0.0	0.0	0.0	0.0	3.0	0.0
g__Lachnospira	0.0	0.0	0.0	0.0	3.0	0.0
g__Brachybacterium	0.0	0.0	0.0	0.0	3.0	0.0
g__Lacticaseibacillus	2.0	0.0	0.0	0.0	0.0	0.0
g__Atopostipes	2.0	0.0	0.0	0.0	0.0	0.0
g__Acutalibacter	2.0	0.0	0.0	0.0	0.0	0.0
g__Kocuria	2.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	2.0	0.0	0.0	0.0	0.0	0.0
g__Borkfalkia	2.0	0.0	0.0	0.0	0.0	2.0
g__Muribaculum	0.0	2.0	0.0	0.0	0.0	0.0
g__Pseudoduganella	0.0	2.0	0.0	0.0	0.0	0.0
g__Collinsella	0.0	2.0	0.0	0.0	0.0	0.0
g__Helicobacter_C	0.0	2.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Balneatricaceae;__	0.0	2.0	0.0	0.0	0.0	0.0
g__Faecalimonas	0.0	2.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;__;__	0.0	2.0	0.0	0.0	0.0	0.0
g__Alistipes	0.0	0.0	2.0	0.0	0.0	0.0
g__Spirosoma	0.0	0.0	0.0	2.0	0.0	0.0
g__Staphylococcus	0.0	0.0	0.0	2.0	0.0	0.0
g__Microvirga	0.0	0.0	0.0	2.0	0.0	0.0
g__Hymenobacter	0.0	0.0	0.0	2.0	0.0	0.0
g__Plastoroseomonas	0.0	0.0	0.0	0.0	2.0	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Tissierellales;f__Tissierellaceae;__	0.0	0.0	0.0	0.0	0.0	2.0
g__Coprococcus	0.0	0.0	0.0	0.0	0.0	2.0
