Genus
Genus	LSFkvassX	LSFkvassY	LSGFkvassX	SDX	SDY	STDkvassX
Levilactobacillus	26498.0	59558.0	27375.0	47392.0	62616.0	35153.0
Lactiplantibacillus	23117.0	92.0	21882.0	4537.0	2964.0	13178.0
CALKXV01	2.0	0.0	0.0	3887.0	3473.0	2.0
UBA1258	0.0	0.0	2.0	1486.0	41.0	4.0
Faecalibacterium	411.0	589.0	0.0	0.0	0.0	446.0
JBAIYU01	202.0	250.0	0.0	0.0	0.0	222.0
Duodenibacillus	247.0	306.0	0.0	0.0	0.0	258.0
Aquabacterium	187.0	178.0	0.0	0.0	0.0	139.0
Allorhizobium	103.0	93.0	0.0	0.0	0.0	74.0
Acetobacter	0.0	2.0	0.0	0.0	162.0	0.0
Pantoea	0.0	0.0	0.0	179.0	119.0	0.0
Hylemonella	41.0	40.0	0.0	0.0	0.0	26.0
d__Bacteria;__;__;__;__;__	40.0	27.0	3.0	7.0	2.0	17.0
Novosphingobium	28.0	23.0	0.0	0.0	0.0	29.0
Comamonas	34.0	22.0	0.0	0.0	0.0	19.0
Neorhizobium	19.0	32.0	0.0	0.0	3.0	22.0
Pediococcus	0.0	0.0	0.0	64.0	0.0	0.0
Aquabacterium_A	15.0	16.0	0.0	0.0	0.0	22.0
Loigolactobacillus	0.0	0.0	0.0	0.0	43.0	0.0
Pannonibacter	15.0	16.0	0.0	0.0	0.0	7.0
Pseudomonas_E	0.0	19.0	0.0	4.0	43.0	0.0
QFOX01	15.0	7.0	0.0	0.0	0.0	5.0
Brevibacillus	15.0	12.0	0.0	0.0	0.0	4.0
Prevotella	8.0	28.0	0.0	0.0	0.0	7.0
Sphingobium	12.0	15.0	0.0	0.0	3.0	11.0
Sphingomonas	0.0	0.0	0.0	13.0	12.0	0.0
Curtobacterium	0.0	0.0	0.0	9.0	21.0	0.0
Acinetobacter	12.0	25.0	0.0	0.0	0.0	0.0
Stutzerimonas	19.0	0.0	0.0	0.0	0.0	9.0
Diaphorobacter	13.0	6.0	0.0	0.0	0.0	0.0
Rhodoferax_C	7.0	0.0	0.0	0.0	0.0	7.0
Agrobacterium	13.0	0.0	0.0	0.0	0.0	0.0
Moraxella_A	13.0	11.0	0.0	0.0	0.0	3.0
Frigoribacterium	0.0	0.0	0.0	0.0	13.0	0.0
Pelomonas	12.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	11.0	2.0	0.0	0.0	0.0	0.0
Brevundimonas	9.0	7.0	0.0	0.0	0.0	4.0
Flavobacterium	0.0	0.0	0.0	0.0	0.0	8.0
Hydrogenophaga	7.0	4.0	0.0	0.0	0.0	0.0
Companilactobacillus	7.0	0.0	0.0	4.0	0.0	0.0
Cloacibacterium	5.0	2.0	0.0	0.0	0.0	0.0
Telluria	0.0	0.0	0.0	7.0	3.0	0.0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;__	6.0	0.0	0.0	0.0	0.0	0.0
Carnobacterium	0.0	0.0	4.0	0.0	0.0	2.0
Stenotrophomonas	0.0	0.0	0.0	6.0	0.0	0.0
Vogesella	0.0	5.0	0.0	0.0	0.0	2.0
Roseateles	4.0	0.0	0.0	0.0	0.0	0.0
Azospira	4.0	0.0	0.0	0.0	0.0	0.0
Parvimonas	0.0	4.0	0.0	0.0	0.0	3.0
Methylobacterium	0.0	0.0	0.0	0.0	4.0	0.0
Asticcacaulis	3.0	0.0	0.0	0.0	0.0	0.0
Lawsonella	3.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A	0.0	3.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;__;__;__	0.0	0.0	0.0	3.0	0.0	0.0
Microsaccharimonas	0.0	0.0	0.0	3.0	0.0	0.0
Chryseobacterium	0.0	0.0	0.0	3.0	0.0	0.0
Sphingobacterium	0.0	0.0	0.0	0.0	5.0	0.0
Schleiferilactobacillus	0.0	0.0	0.0	0.0	3.0	0.0
Rathayibacter	0.0	0.0	0.0	0.0	3.0	0.0
Lachnospira	0.0	0.0	0.0	0.0	3.0	0.0
Brachybacterium	0.0	0.0	0.0	0.0	3.0	0.0
Lacticaseibacillus	2.0	0.0	0.0	0.0	0.0	0.0
Atopostipes	2.0	0.0	0.0	0.0	0.0	0.0
Acutalibacter	2.0	0.0	0.0	0.0	0.0	0.0
Kocuria	2.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	2.0	0.0	0.0	0.0	0.0	0.0
Borkfalkia	2.0	0.0	0.0	0.0	0.0	2.0
Muribaculum	0.0	2.0	0.0	0.0	0.0	0.0
Pseudoduganella	0.0	2.0	0.0	0.0	0.0	0.0
Collinsella	0.0	2.0	0.0	0.0	0.0	0.0
Helicobacter_C	0.0	2.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Balneatricaceae;__	0.0	2.0	0.0	0.0	0.0	0.0
Faecalimonas	0.0	2.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;__;__	0.0	2.0	0.0	0.0	0.0	0.0
Alistipes	0.0	0.0	2.0	0.0	0.0	0.0
Spirosoma	0.0	0.0	0.0	2.0	0.0	0.0
Staphylococcus	0.0	0.0	0.0	2.0	0.0	0.0
Microvirga	0.0	0.0	0.0	2.0	0.0	0.0
Hymenobacter	0.0	0.0	0.0	2.0	0.0	0.0
Plastoroseomonas	0.0	0.0	0.0	0.0	2.0	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Tissierellales;f__Tissierellaceae;__	0.0	0.0	0.0	0.0	0.0	2.0
Coprococcus	0.0	0.0	0.0	0.0	0.0	2.0
