# Constructed from biom file
Genus	LSFkvassX	LSFkvassY	LSGFkvassX	SDX	SDY	STDkvassX
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus	0.5178526060700815	0.9698736321000521	0.5556344889177559	0.8226064014441435	0.9004184581757524	0.707460403711083
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus	0.4517774433739178	0.001498176133402814	0.44414224242916295	0.07875095466222315	0.04262233790138192	0.26520960373523317
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CALKXV01	3.9086165451738354e-05	0.0	0.0	0.06746858293411095	0.04994176097553961	4.025035722192035e-05
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1258	0.0	0.0	4.0594300560201345e-05	0.02579323751996112	0.000589580247623704	8.05007144438407e-05
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0.008032207000332232	0.009591584158415841	0.0	0.0	0.0	0.008975829660488236
d__Bacteria;p__Bacillota;c__Negativicutes;o__DSM-1736;f__Dendrosporobacteraceae;g__JBAIYU01	0.003947702710625574	0.004071130797290256	0.0	0.0	0.0	0.004467789651633158
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus	0.004827141433289687	0.004983064095883272	0.0	0.0	0.0	0.0051922960816277244
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium	0.0036545564697375364	0.002898645127670662	0.0	0.0	0.0	0.002797399826923464
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium	0.0020129375207645255	0.001514460656591975	0.0	0.0	0.0	0.0014892632172110527
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter	0.0	3.256904637832204e-05	0.0	0.0	0.0023295609784156107	0.0
