# Constructed from biom file
Genus	LSFkvassX	LSFkvassY	LSGFkvassX	SDX	SDY	STDkvassX
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus	51.7853	96.9874	55.5634	82.2606	90.0418	70.746
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus	45.1777	0.149818	44.4142	7.8751	4.26223	26.521
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CALKXV01	0.00390862	0	0	6.74686	4.99418	0.00402504
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1258	0	0	0.00405943	2.57932	0.058958	0.00805007
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0.803221	0.959158	0	0	0	0.897583
d__Bacteria;p__Bacillota;c__Negativicutes;o__DSM-1736;f__Dendrosporobacteraceae;g__JBAIYU01	0.39477	0.407113	0	0	0	0.446779
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus	0.482714	0.498306	0	0	0	0.51923
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium	0.365456	0.289865	0	0	0	0.27974
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium	0.201294	0.151446	0	0	0	0.148926
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter	0	0.0032569	0	0	0.232956	0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea	0	0	0	0.310699	0.171122	0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hylemonella	0.0801266	0.0651381	0	0	0	0.0523255
d__Bacteria;__;__;__;__;__	0.0781723	0.0439682	0.00608915	0.0121502	0.002876	0.0342128
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium	0.0547206	0.0374544	0	0	0	0.058363
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas	0.0664465	0.035826	0	0	0	0.0382378
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium	0.0371319	0.0521105	0	0	0.004314	0.0442754
