CAZy	Class
GH43_8	GH
GH43_9	GH
GT57	GT
AA1	AA
GT71	GT
GT58	GT
AA2	AA
GT59	GT
GH1	GH
GT2_Chitin_synth_1	GT
GH5_9	GH
GH2	GH
AA4	AA
GH3	GH
GT2_Chitin_synth_2	GT
GH4	GH
AA6	AA
GT76	GT
GH5	GH
AA7	AA
GH8	GH
GH13_10	GH
GH13_11	GH
GH13_12	GH
GH43_23	GH
GH13_13	GH
GH43_24	GH
GH13_14	GH
GH43_26	GH
GH13_16	GH
GH43_27	GH
GH13_30	GH
GH13_17	GH
GH5_12	GH
GH13_31	GH
GH13_18	GH
GH43_29	GH
GT2_Glyco_tranf_2_3	GT
GH13_32	GH
GH13_19	GH
GH5_14	GH
GH5_15	GH
GH13_34	GH
GH13_35	GH
GH13_36	GH
GH13_37	GH
GH13_38	GH
GH5_33	GH
GH13_39	GH
GH13	GH
GH15	GH
AA1_1	AA
GH16	GH
AA1_2	AA
GH30	GH
GH5_50	GH
GH5_37	GH
GH17	GH
AA1_3	AA
GH13_1	GH
GH31	GH
GH18	GH
GH13_2	GH
GH32	GH
GH13_3	GH
GH33	GH
GH13_4	GH
GH5_54	GH
GH13_5	GH
GH13_6	GH
GH36	GH
GH37	GH
GH13_8	GH
GH51	GH
GH38	GH
GH16_20	GH
GH13_9	GH
GH16_21	GH
GT111	GT
GT113	GT
GT1	GT
GT3	GT
GT20	GT
GH16_27	GH
GT4	GT
GT21	GT
GH72	GH
GH125	GH
GH30_1	GH
GT5	GT
GT22	GT
GH73	GH
GH30_2	GH
GH74	GH
GH30_3	GH
GT24	GT
GT8	GT
GH76	GH
GT26	GT
CBM19	CBM
CBM32	CBM
GH30_6	GH
GT27	GT
GH78	GH
GH30_7	GH
GT41	GT
GT28	GT
GH92	GH
CBM34	CBM
GH30_9	GH
CBM50	CBM
GT48	GT
GT62	GT
GH167	GH
AA10	AA
GT66	GT
CE1	CE
GH43_10	GH
CE2	CE
GH43_11	GH
CBM91	CBM
GH43_12	GH
CE4	CE
GH43_13	GH
GH43_14	GH
GH43_15	GH
GH43_16	GH
GH43_30	GH
GH43_17	GH
GH13_20	GH
CE9	CE
GH43_31	GH
GH13_21	GH
GH43_32	GH
GH43_19	GH
GH43_33	GH
GH13_23	GH
GH43_34	GH
GH13_25	GH
GH43_36	GH
GH13_26	GH
GH13_40	GH
GH5_22	GH
GH13_41	GH
GH13_28	GH
GH13_42	GH
GH13_29	GH
GT2_Glyco_trans_2_3	GT
GT2_Glycos_transf_2	GT
GH20	GH
GH5_44	GH
GH5_45	GH
GH25	GH
GH5_46	GH
GH5_47	GH
GH27	GH
GH28	GH
GH5_49	GH
GH42	GH
GH43	GH
GH47	GH
GH16_18	GH
GH63	GH
GH16_19	GH
GH65	GH
GT15	GT
GH132	GH
CBM21	CBM
GH133	GH
GH81	GH
GT32	GT
GT33	GT
GH16_2	GH
GT34	GT
GH85	GH
GH16_3	GH
GT35	GT
GT50	GT
CBM43	CBM
GH43_3	GH
GT51	GT
GH43_4	GH
GT39	GT
GH43_5	GH
GH170	GH
CBM48	CBM
