gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	E1	F1	B1	D1	C1	AA
K01647	citrate synthase [EC:2.3.3.1] [RN:R00351]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	3.0	3.0	2.0	3.0	3.0	3.0
K01682	aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	4.0	4.0	2.0	4.0	4.0	4.0
K00031	isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	3.0	3.0	1.0	3.0	3.0	3.0
K00030	isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	2.0	2.0	1.0	2.0	2.0	2.0
K00164	2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	1.0	1.0	1.0	1.0	1.0	1.0
K00658	2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	1.0	1.0	1.0	1.0	1.0	1.0
K00382	2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	9.0	7.0	8.0	9.0	9.0	6.0
K01899	succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	1.0	1.0	0.0	1.0	1.0	1.0
K01900	succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	1.0	1.0	1.0	1.0	1.0	1.0
K18118	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	1.0	1.0	1.0	1.0	1.0	1.0
K00234	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	6.0	5.0	4.0	6.0	6.0	6.0
K00235	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	1.0	1.0	1.0	1.0	1.0	1.0
K00236	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	2.0	2.0	1.0	2.0	2.0	2.0
K00237	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	3.0	3.0	2.0	3.0	3.0	3.0
K00239	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	1.0	0.0	2.0	1.0	1.0	1.0
K01676	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	2.0	0.0	2.0	2.0	2.0	2.0
K01679	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	4.0	4.0	4.0	4.0	4.0	3.0
K00026	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	3.0	3.0	3.0	3.0	3.0	3.0
