Gene Family	AA_combined_Abundance-RPKs	B1_combined_Abundance-RPKs	C1_combined_Abundance-RPKs	D1_combined_Abundance-RPKs	E1_combined_Abundance-RPKs	F1_combined_Abundance-RPKs	log2FC_E1_vs_AA	log2FC_F1_vs_B1	log2FC_D1_vs_AA	log2FC_C1_vs_D1
UNMAPPED	151416.0	176562.0	146653.0	152226.0	151004.0	160434.0	-0.003930895605901596	-0.13819495933842985	0.007697128559747824	-0.05380820647867388
UNGROUPED	760260.75862039	717993.76234012	749932.61187631	738427.47510716	743239.34327043	721633.6365324	-0.03266745469971542	0.007295276042050057	-0.04203809411259459	0.022304729246678485
UNGROUPED|g__Acetobacter.s__Acetobacter_tropicalis	0.0	1119.1275509	0.0	0.0	0.0	0.0	0.0	-30.05972732998465	0.0	0.0
UNGROUPED|g__Lactobacillus.s__Lactobacillus_brevis	22708.1845426	605204.7303993	280410.7478404	353811.1752166	270864.60234477	503169.2115195	3.5762875924830593	-0.2663796163065474	3.9616953403457065	-0.33543796929198133
UNGROUPED|g__Lactobacillus.s__Lactobacillus_coryniformis	0.0	6082.8636496	0.0	0.0	0.0	0.0	0.0	-32.50210352007225	0.0	0.0
UNGROUPED|g__Lactobacillus.s__Lactobacillus_plantarum	616864.1718834	54817.3805946	327030.1254518	203171.5427461	293095.4181211	34430.41139689	-1.0735824405068595	-0.6709499724807223	-1.602254510505476	0.686725195470286
UNGROUPED|g__Pantoea.s__Pantoea_agglomerans	159.46061338	426.43308372	0.0	0.0	0.0	0.0	-27.248624891833114	-28.667744132725584	-27.248624891833114	0.0
UNGROUPED|g__Pantoea.s__Pantoea_vagans	76.75689189	237.96670092	0.0	0.0	0.0	0.0	-26.193792976801173	-27.826184474078687	-26.193792976801173	0.0
UNGROUPED|g__Saccharomyces.s__Saccharomyces_cerevisiae	37994.2940633	14073.7124519	78721.4988993	122159.362824	113530.6210437	133703.024244	1.5792267903933332	3.247957251181426	1.6849097644727684	-0.6339348465147481
UNGROUPED|unclassified	82457.88364873	36031.55819192	63770.31853471	59285.4325813	65748.71957126	50330.9747242	-0.326694634911608	0.4821854949944886	-0.4759797796023177	0.10520743341559993
K00002	3.51432	0.892944	7.04272	10.3841	9.87442	11.6317	1.4904501823685452	3.703346962449191	1.5630584417273583	-0.5601714846843767
K00002|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.51432	0.892944	7.04272	10.3841	9.87442	11.6317	1.4904501823685452	3.703346962449191	1.5630584417273583	-0.5601714846843767
K00003	3.29599	1.00507	5.1508	9.03432	9.44803	10.9223	1.5193013952616474	3.441907496033113	1.454703872211748	-0.8106193723794805
K00003|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.29599	1.00507	5.1508	9.03432	9.44803	10.9223	1.5193013952616474	3.441907496033113	1.454703872211748	-0.8106193723794805
K00004	7.12092	2.9054	13.82316	22.6257	20.60004	22.3244	1.532511456276464	2.9418122644674467	1.6678267386250722	-0.7108749305802695
K00004|g__Saccharomyces.s__Saccharomyces_cerevisiae	7.12092	2.9054	13.82316	22.6257	20.60004	22.3244	1.532511456276464	2.9418122644674467	1.6678267386250722	-0.7108749305802695
K00006	7.1351700000000005	2.383228	12.86	19.81591	19.30655	21.3394	1.4360705479038005	3.1625301909179826	1.473639383524664	-0.6237685392265219
K00006|g__Saccharomyces.s__Saccharomyces_cerevisiae	7.1351700000000005	2.383228	12.86	19.81591	19.30655	21.3394	1.4360705479038005	3.1625301909179826	1.473639383524664	-0.6237685392265219
K00008	3.07265	1.38543	5.46562	8.20581	8.89163	9.20647	1.532964167162143	2.7323133916187374	1.4171620147629425	-0.5862605025974877
K00008|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.07265	1.38543	5.46562	8.20581	8.89163	9.20647	1.532964167162143	2.7323133916187374	1.4171620147629425	-0.5862605025974877
K00009	130.271	6.06824	69.7183	35.6996	56.282	0.322206	-1.2107704413623597	-4.235218641026482	-1.8675361132141126	0.9656294622124235
K00009|g__Lactobacillus.s__Lactobacillus_plantarum	130.271	6.06824	69.7183	35.6996	56.282	0.322206	-1.2107704413623597	-4.235218641026482	-1.8675361132141126	0.9656294622124235
K00012	181.327	0.384135	120.106	57.278	93.0055	0.0	-0.9632058145880228	-18.551257649416726	-1.662540720992142	1.068255187352133
K00012|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.384135	0.0	0.0	0.0	0.0	0.0	-18.551257649416726	0.0	0.0
K00012|unclassified	181.327	0.0	120.106	57.278	93.0055	0.0	-0.9632058145880228	0.0	-1.662540720992142	1.068255187352133
K00013	91.9	5.08309	45.1894	26.2861	41.3962	0.0658051	-1.1505665019989597	-6.271340925583444	-1.8057647133902073	0.7816842699276647
K00013|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.50636	0.0	0.0	0.0	0.0	0.0	-18.949806766893996	0.0	0.0
K00013|unclassified	91.9	4.57673	45.1894	26.2861	41.3962	0.0658051	-1.1505665019989597	-6.119952365926947	-1.8057647133902073	0.7816842699276647
K00014	0.0	0.26042	0.0	0.0	0.0	0.0	0.0	-17.99048626462349	0.0	0.0
K00014|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.26042	0.0	0.0	0.0	0.0	0.0	-17.99048626462349	0.0	0.0
