Pathway	AA_combined_Abundance	B1_combined_Abundance	C1_combined_Abundance	D1_combined_Abundance	E1_combined_Abundance	F1_combined_Abundance	Category	Gene_Short	log2FC_AA_vs_B1	log2FC_AA_vs_D1	log2FC_B1_vs_F1	log2FC_D1_vs_C1	log2FC_D1_vs_E1	log2FC_E1_vs_F1
PWY-7337: 10-cis-heptadecenoyl-CoA degradation (yeast)	11.3805	5.33976	19.955	30.2256	30.2067	38.1834	Acidification	pta	1.091717138070908	-1.4092070346625154	-2.8380987661238013	0.5990206994239039	0.0009023961411659204	-0.33807698953154375
PWY-7338: 10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	11.3805	5.33976	19.955	30.2256	30.2067	38.1834	Acidification	pta	1.091717138070908	-1.4092070346625154	-2.8380987661238013	0.5990206994239039	0.0009023961411659204	-0.33807698953154375
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.0	3.80774	0.0	0.0	0.0	0.0	Acidification	pox	-31.826287826310203	0.0	31.826287826310203	0.0	0.0	0.0
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	12.7684	6.7468	18.789	28.1871	26.8124	31.3967	Health_Associated	kynU	0.9203024522881155	-1.1424573021486704	-2.2183376293756902	0.5851467705863939	0.07213469346450414	-0.22771256840340834
HSERMETANA-PWY: L-methionine biosynthesis III	655.804	34.1989	256.322	161.265	235.139	36.1779	Phytochemical	tanA	4.261242874262458	2.023831342817105	-0.08115874511555889	-0.6685239513117294	-0.5440804848013275	2.700333271131122
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	515.101	870.211	500.917	477.163	460.561	577.183	Aroma_Flavor	als	-0.7565099126772225	0.11037316242859477	0.5923364453565745	-0.07008939582648623	0.05108992859150714	-0.32563655834074967
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II	38.5617	10.7505	49.4001	67.55	65.8595	67.2217	Aroma_Flavor	als	1.8427648940136845	-0.8087871150752394	-2.6445232676132755	0.4514418073008105	0.0365642103996995	-0.02953546892405117
VALSYN-PWY: L-valine biosynthesis	29.2747	20.0426	35.7834	49.4509	51.933	54.4763	Aroma_Flavor	als	0.5465847139965984	-0.7563423916522066	-1.4425590471917744	0.46670630488114173	-0.07065478953091746	-0.06897715201205204
PWY66-398: TCA cycle III (animals)	28.4767	10.7389	42.228	61.1311	59.5773	75.9078	Aroma_Flavor	als	1.4069357466320158	-1.102124556919082	-2.821401915364277	0.5337066074238394	0.037143784178502455	-0.3494853959916819
PWY-5972: stearate biosynthesis I (animals)	18.0009	7.62427	27.4186	38.8221	39.154	49.2038	Aroma_Flavor	als	1.239397923643278	-1.108809120175253	-2.6900986230161625	0.501723251048169	-0.012281542056659055	-0.3296100371409724
PWY-7919: protein N-glycosylation processing phase (plants and animals)	11.5372	4.09856	17.2942	24.5804	24.8932	30.79	Aroma_Flavor	als	1.49310411076713	-1.0912152588104098	-2.909272843885503	0.5072201143795114	-0.018243306415045898	-0.30671016789291716
PWY-7724: icosapentaenoate biosynthesis III (8-desaturase, mammals)	9.40358	4.20547	13.5045	18.6259	19.5987	25.4914	Aroma_Flavor	als	1.1609430599914514	-0.9860281286964063	-2.5996716596981435	0.463869912492741	-0.07344782419308002	-0.3792526468172056
PWY-7725: arachidonate biosynthesis V (8-detaturase, mammals)	8.14153	3.65614	11.6789	16.0636	16.9424	22.0239	Aroma_Flavor	als	1.1549786239731006	-0.9804234061102601	-2.590676744258867	0.45989085267165264	-0.07684300590662962	-0.3784317082688766
PWY-7606: docosahexaenoate biosynthesis III (6-desaturase, mammals)	2.39404	3.87462	0.0	0.0	0.0	0.0	Aroma_Flavor	als	-0.6946075687677584	31.15680011184922	31.851407680616976	0.0	0.0	0.0
