taxon_name	AA	B1	C1	D1	E1	F1
Actinomycetota	0.078201	0.225505	0.039336	0.050723	0.047149	0.053527
Ascomycota	5.904384	2.030923	11.372032	16.720196	16.490398	18.407629
Bacillota	82.879524	85.789528	80.521858	74.120789	74.387863	72.441177
Bacteroidota	0.012233	0.028882	0.0	0.0	0.0	0.0
Basidiomycota	0.062781	0.045043	0.094122	0.145653	0.143193	0.160639
Blastocladiomycota	0.011074	0.0	0.02251	0.035414	0.034118	0.037064
Chytridiomycota	0.0	0.0	0.015159	0.024813	0.022142	0.025108
Mucoromycota	0.020014	0.029478	0.026839	0.030535	0.028475	0.032791
Pseudomonadota	0.280767	0.715452	0.113676	0.144273	0.145716	0.166456
Viruses	0.059793	0.032877	0.049558	0.045352	0.047443	0.033882
cannot be assigned to a (non-viral) phylum	2.873353	1.364278	2.48333	2.508948	2.659296	2.285307
unclassified	7.789709	9.712055	5.24346	6.150339	5.973253	6.3357
