Species	AA	B1	C1	D1	E1	F1
Acetobacter ascendens	0.0	1e-05	0.0	0.0	0.0	0.0
Acetobacter orientalis	0.0	1e-05	0.0	0.0	0.0	0.0
Acetobacter oryzoeni	0.0	5e-05	0.0	0.0	0.0	0.0
Acetobacter persici	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacter pomorum	0.0	0.0004	0.0	0.0	0.0	0.0
Acetobacter senegalensis	0.0	0.00022	0.0	0.0	0.0	1e-05
Acetobacter sp. KSO5	0.0	1e-05	0.0	0.0	0.0	0.0
Acetobacter tropicalis	0.0	0.00031	0.0	0.0	0.0	1e-05
Actinomyces oris	2e-05	0.0	2e-05	2e-05	2e-05	2e-05
Alternaria dauci	2e-05	7e-05	0.0	0.0	0.0	0.0
Aspergillus chevalieri	0.0	1e-05	0.0	0.0	0.0	0.0
Bacillus cereus	1e-05	0.0	2e-05	2e-05	2e-05	2e-05
Botrytis cinerea	0.0	1e-05	0.0	0.0	0.0	0.0
Brachybacterium sp. Z12	0.0	1e-05	0.0	0.0	0.0	0.0
Chryseobacterium sp. JJR-5R	3e-05	1e-05	0.0	0.0	0.0	0.0
Clavibacter phaseoli	2e-05	6e-05	0.0	0.0	0.0	0.0
Companilactobacillus paralimentarius	1e-05	2e-05	1e-05	2e-05	2e-05	1e-05
Corynebacterium nuruki	0.0	1e-05	0.0	0.0	0.0	0.0
Curtobacterium flaccumfaciens	6e-05	0.00013	0.0	0.0	0.0	0.0
Curtobacterium sp. KT1	6e-05	0.00018	0.0	0.0	0.0	0.0
Curtobacterium sp. MCJR17_020	0.0	2e-05	0.0	0.0	0.0	0.0
Curtobacterium sp. MCLR17_007	0.0	1e-05	0.0	0.0	0.0	0.0
Curtobacterium sp. MCLR17_032	3e-05	0.00013	0.0	0.0	0.0	0.0
Dietzia kunjamensis	0.0	0.0	0.0	0.0	0.0	0.0
Duffyella gerundensis	1e-05	2e-05	0.0	0.0	0.0	0.0
Erwinia persicina	2e-05	4e-05	0.0	0.0	0.0	0.0
Escherichia coli	0.00036	8e-05	0.00083	0.0013	0.00118	0.00165
Frigoribacterium sp. NBH87	1e-05	5e-05	0.0	0.0	0.0	0.0
Frigoribacterium sp. R86507	2e-05	6e-05	0.0	0.0	0.0	0.0
Frigoribacterium sp. SL97	4e-05	0.00015	0.0	0.0	0.0	0.0
Fructilactobacillus sanfranciscensis	0.0	0.0	0.0	0.0	0.0	0.0
Fusarium graminearum	1e-05	1e-05	0.0	0.0	0.0	0.0
Fusarium poae	0.0	1e-05	0.0	0.0	0.0	0.0
Heilongjiangvirus Lb	0.0	1e-05	1e-05	2e-05	1e-05	2e-05
Homo sapiens	0.0005	0.00084	0.00011	0.00018	0.00014	0.00015
Kineococcus sp. NBC_00420	0.0	4e-05	0.0	0.0	0.0	0.0
Komagataella phaffii	0.0	0.0	0.0	0.0	0.0	0.0
Kosakonia cowanii	0.0	2e-05	0.0	0.0	0.0	0.0
Kozakia baliensis	0.0	0.0	0.0	0.0	0.0	0.0
Lacticaseibacillus paracasei	0.0	0.00031	0.0	0.0	0.0	1e-05
Lactiplantibacillus argentoratensis	0.0	0.0	0.0	2e-05	2e-05	0.0
Lactiplantibacillus pentosus	0.0	6e-05	5e-05	7e-05	6e-05	7e-05
Lactiplantibacillus plantarum	0.92168	0.04018	0.41516	0.23914	0.369	0.01244
