Species	AA	B1	C1	D1	E1	F1
s__Acetobacter_tropicalis	0	0.13476	0	0	0	0
s__Levilactobacillus_brevis	0.04063	96.43421	56.54655	71.29315	56.95612	94.04375
s__Pseudomonas_graminis	0	0.00231	0	0	0	0
s__Lactiplantibacillus_plantarum	97.64045	2.80047	39.57404	22.98865	37.11998	0.10473
s__Pseudomonas_coleopterorum	0	0.00727	0	0	0	0
s__Loigolactobacillus_coryniformis	0	0.03323	0	0	0	0
s__Sphingomonas_aerolata	0	0.00501	0	0	0	0
s__Frigoribacterium_sp_PhB160	0	0.00091	0	0	0	0
s__Frigoribacterium_sp_CFBP_8751	0	0.00332	0	0	0	0
s__Frigoribacterium_sp_CFBP_13729	0	0.00074	0	0	0	0
s__Saccharomyces_cerevisiae	2.27254	0.50881	3.87941	5.7182	5.9239	5.85152
s__Pantoea_agglomerans	0.04639	0.06603	0	0	0	0
s__Pantoea_ananatis	0	0.00294	0	0	0	0
